latitude,longitude,altitude,geometry,coordinates,@id,aerialway,building,network,operator,public_transport,source,wall,layer,aerialway:access,ele,name,aerialway:summer:access,internet_access,ele:local,area,aerialway:bubble,aerialway:capacity,aerialway:duration,aerialway:length,aerialway:occupancy,ref,oneway,aerialway:heating,comment,aerialway:chair_lift:occupancy,aerialway:gondola:occupancy,alt_name,covered,opening_hours,note,charge,playground,website,access,construction,maxspeed,proposed:aerialway,start_date
,,,LineString,"6.5626129,45.2805688,6.561827,45.2750024,6.5603138,45.2640693,6.5602865,45.2638718",way/22462908,cable_car,,,,,,,,,,Cime Caron,,,,,,1430,3,2047,150,,,,,,,,,,,,,,,,,,
,,,LineString,"6.5614867,45.2950611,6.5609893,45.2944185,6.5603578,45.2935722,6.5597333,45.2927352,6.5589058,45.2916261,6.5581099,45.2905593,6.5570639,45.2891574,6.5563353,45.2881808,6.5553887,45.2868254,6.5543394,45.2854043,6.5538257,45.2847086,6.5527312,45.2832372,6.5519755,45.2822146,6.5515124,45.2815879,6.5512963,45.2812955",way/22463109,chair_lift,,,,,,,,,,Boismint,,,,,no,2400,06:04,1820,4,B 82,,,,,,,,,,,,,,,,,
,,,LineString,"6.5306922,45.3256959,6.5316386,45.3257366,6.5324066,45.3257697,6.5332618,45.3258065,6.5345123,45.3258603,6.5355636,45.3259056,6.5369741,45.3259663,6.5380818,45.3260099,6.5385598,45.3260286,6.539702,45.3260735,6.5402248,45.3260941",way/22463110,chair_lift,,,,,,,,,,Tortollet,,,,,no,2000,06:30,779,4,,yes,,,,,,,,,,,,,,,,
,,,LineString,"6.5389369,45.3224768,6.5392135,45.3226159,6.5392975,45.3226581,6.5396095,45.322815,6.5406117,45.323319,6.5424359,45.3242363,6.5429756,45.3245077,6.5441648,45.3251057,6.5470348,45.3265488,6.5479341,45.327001,6.549277,45.3276763,6.5509738,45.3285295,6.5525608,45.3293274,6.553941,45.3300214,6.5547509,45.3304286",way/22463141,gondola,,,,,,,,,,Roc 1,,,,,yes,2800,5:22,1341,8,,no,no,,,,,,,,,,,,,,,
,,,LineString,"6.5645469,45.2942801,6.565512,45.294603,6.567241,45.2951815,6.5692412,45.2958506,6.5700041,45.2961059,6.5709918,45.2964363,6.5723001,45.296864,6.5740135,45.2974214,6.5751736,45.2977995,6.5767518,45.298314,6.577117,45.298433,6.5777589,45.2986423",way/22467490,gondola,,,,,,,,,,Cairn,,,,,,2400,03:03,1102,8,B 197,,,,,,,,,,,,,,,,,
,,,LineString,"6.5357112,45.3192562,6.5352087,45.3189919,6.5351393,45.3189554,6.5350762,45.3189222,6.5349447,45.318853,6.5347762,45.3187658,6.533519,45.3181151,6.5319311,45.3172905,6.5297639,45.3161726,6.5278996,45.3152057,6.5265041,45.314478,6.5251221,45.3137769,6.5231623,45.3127664,6.5213787,45.3118332,6.5212723,45.3117775,6.5211176,45.3116966,6.5210154,45.3116431,6.5205918,45.3114215,6.519956,45.3110888",way/22516187,gondola,,,,,,,,,,Masse 1,,,,,yes,2500,5:21,1606,12,,yes,no,,,,,,,,,,,,,,,
,,,LineString,"6.5183144,45.3101228,6.5182216,45.3094985,6.5181751,45.3091862,6.5180913,45.3085621,6.5200747,45.3042622,6.5201834,45.3040485",way/22516258,platter,,,,,,,1,,,Masse,,,,,,800,03:33,750,1,,,,,,,,,,,,,,,,,,
,,,LineString,"6.562317,45.2949988,6.5625014,45.2947807,6.5628348,45.2943863,6.563284,45.293855,6.5645373,45.2923726,6.5652169,45.2915686,6.5661298,45.2904887,6.5668359,45.2896534,6.5678382,45.2884678,6.5681686,45.288077,6.5686614,45.2874939,6.5690203,45.2870694,6.5694439,45.2865683,6.5699957,45.2859154,6.5709658,45.2847678,6.5713128,45.2843573,6.5717224,45.2838727,6.572604,45.2828297,6.5727075,45.2827073,6.5728593,45.2825277",way/22516290,chair_lift,,,,,,,2,,,Moutière,,,,,no,3600,05:37,1686,6,B 68,no,,,,,,,,,,,,,,,,
,,,LineString,"6.5681663,45.2809651,6.5696113,45.2792328,6.570675,45.2779576,6.5746252,45.2732217,6.5782189,45.2689128,6.5800648,45.2666995,6.5801523,45.2665946,6.5804175,45.2662766",way/22516296,gondola,,,,,,,,,,Grand Fond,,,,,,3000,04:43,1985,33,B 87,,,,,,,,,,,,,,,,,
,,,LineString,"6.5702061,45.2466754,6.5704053,45.2474301,6.5707438,45.2487025,6.5708244,45.2490057,6.5711738,45.2503191,6.5712956,45.2507772,6.5713761,45.2510644,6.5715856,45.2518526,6.5719767,45.2533245,6.57232,45.2546164,6.572575,45.255576,6.5728627,45.2566583,6.573108,45.2575814,6.573181,45.2578559,6.5734305,45.2587947,6.5737089,45.2598422,6.5740118,45.2609818,6.5743624,45.2623012,6.5747529,45.26377,6.5751144,45.2651302,6.5753516,45.2659961",way/22516299,chair_lift,,,,,,,,,,Rosaël,,,,,no,2600,07:31,2258,6,,,no,,,,,,,,,,,,,,,
,,,LineString,"6.570752,45.2460571,6.5716735,45.2463456,6.573447,45.2468904,6.5740835,45.247086,6.5751516,45.2474141,6.5765226,45.2478353,6.5778762,45.2482511,6.5789811,45.2485905,6.5799582,45.2488907,6.5821526,45.2495648,6.5836885,45.2500366,6.5859121,45.2507197,6.5874906,45.2512046,6.5878161,45.2513046",way/22516300,chair_lift,,,,,,,,,,Peyron,,,,,no,2200,04:50,1520,6,,,no,,,,,,,,,,,,,,,
,,,LineString,"6.5869788,45.2505797,6.5888884,45.2513189,6.5897479,45.2516516,6.5927164,45.2528006,6.5941358,45.25335,6.5943465,45.2534315,6.596078,45.2541017,6.5966514,45.2543237,6.5975102,45.254656,6.5987184,45.2551237,6.5995768,45.2554559,6.5996796,45.2554957,6.5999266,45.2555913",way/22516301,chair_lift,,,,,,,,,,Bouchet,,,,,no,1800,09:07,1260,4,,,,,,,,,,,,,,,,,,
,,,LineString,"6.5727203,45.2802802,6.5796595,45.2763678",way/22516362,platter,,,,,,,,,,Plateau 2,,,,,,550,02:15,351,1,,,,,,,,,,,,,,,,,,
,,,LineString,"6.583316,45.2876951,6.5840526,45.2872157,6.5845832,45.2868704,6.5853598,45.286365,6.5865468,45.2855926,6.5871905,45.2851736,6.587761,45.2848024,6.5887506,45.2841583,6.5899366,45.2833864,6.5902381,45.2831903,6.5912326,45.282543,6.5924229,45.2817683,6.5931558,45.2812914,6.5942013,45.2806109,6.5950559,45.2800547,6.5956181,45.2796888,6.5974616,45.2784889,6.5986168,45.277737,6.5998769,45.2769168,6.6006874,45.2763892,6.6028072,45.2750094,6.6043379,45.2740131,6.6058755,45.2730122,6.6061673,45.2728223",way/22516363,gondola,,,,,,,,,,Moraine,,,,,,2800,06:48,2450,10,B 62,yes,,"Replaced in 2017, aerial imagery may be outdated!",,,,,,,,,,,,,,
,,,LineString,"6.571977,45.2951893,6.572535,45.2955361,6.5733664,45.2960529,6.5744913,45.296752,6.5758077,45.2975702,6.5759651,45.2976681,6.5772845,45.2984882,6.5808472,45.3007027,6.5809238,45.3007503,6.5817582,45.3012689,6.5833149,45.3022365,6.5838133,45.3025463,6.5848313,45.303179,6.5859346,45.3038647,6.5864385,45.3041779,6.5870794,45.3045763,6.587695,45.3049589,6.5883126,45.3053427,6.5884847,45.3054497,6.588715,45.3055928",way/22516364,chair_lift,,,,,,,,,,Plein Sud,,,,,no,4000,05:53,1765,6,B 64,,,,,,,,,,,,,,,,,
,,,LineString,"6.5859941,45.3050295,6.5840772,45.3083729,6.5817855,45.3123699",way/22516365,cable_car,,,,,,,,,,3 Vallées,,,,,,2000,01:52,900,33,B 65,,,,,,,,,,,,,,,,,
,,,LineString,"6.5862535,45.3050894,6.5862955,45.3055246,6.586414,45.3067508,6.5864864,45.3075014,6.58655,45.3081597,6.5866621,45.3093199,6.5866991,45.3097035,6.5867703,45.3104409,6.5868568,45.311336,6.5869287,45.31208,6.5869497,45.3122978",way/22868335,chair_lift,,,,,,,,,,3 Vallées,,,,,no,2400,03:34,856,4,B 67,,no,,,,,,,,,,,,,,,
